86 118
0 0 S
0 1 EN
0 2 ENW
0 3 SNW
0 6 ESN
0 7 SNW
0 8 EN
0 9 SNW
0 10 SN
0 11 EN
0 13 EN
0 14 ENW
0 15 ENW
0 16 SNW
0 18 ESN
0 19 ENW
0 20 SNW
0 22 EN
0 23 ENW
0 24 SNW
0 25 EN
0 26 ENW
0 27 SNW
0 28 SN
0 29 EN
0 30 ENW
0 32 ESN
0 33 ENW
0 36 ESN
0 38 ESN
0 39 SNW
0 40 SN
0 44 ESN
0 45 ENW
0 47 SN
0 48 SN
0 49 SN
0 50 EN
0 53 ESN
0 54 ENW
0 55 SNW
0 56 SN
0 57 EN
0 58 SNW
0 60 ESN
0 61 SNW
0 63 ESN
0 64 SNW
0 65 EN
0 66 SNW
0 67 EN
0 70 EN
0 71 ENW
0 72 SNW
0 73 SN
0 74 SN
0 76 ESN
0 77 SNW
0 78 SN
0 79 SN
0 82 EN
0 84 ESN
0 85 ENW
0 86 SNW
0 87 SN
0 88 EN
0 89 ENW
0 90 SNW
0 91 EN
0 93 SN
0 94 SN
0 96 SN
0 97 SN
0 98 EN
0 99 SNW
0 100 SN
0 102 ESN
0 103 SNW
0 104 EN
0 105 ENW
0 106 ENW
0 107 ENW
0 108 SNW
0 109 EN
0 110 ENW
0 111 ENW
0 112 ENW
0 114 ESN
0 116 EN
0 117 ENW
1 0 ENW
1 1 EW
1 2 EW
1 3 SNW
1 4 ES
1 5 EW
1 8 E
1 10 SN
1 11 S
1 12 E
1 13 SW
1 14 E
1 15 EW
1 16 ENW
1 19 E
1 20 ENW
1 21 EW
1 22 SW
1 23 S
1 26 E
1 27 ENW
1 30 ES
1 31 SW
1 32 EN
1 33 EW
1 34 EW
1 35 SW
1 37 S
1 39 ESN
1 40 ENW
1 41 ESW
1 42 EW
1 43 ESW
1 45 ES
1 46 SW
1 47 ESN
1 48 ENW
1 49 SNW
1 51 ES
1 52 SW
1 53 ESN
1 55 EN
1 56 ENW
1 57 SW
1 58 SN
1 60 ESN
1 61 ENW
1 63 ESN
1 64 ENW
1 66 SN
1 67 S
1 68 E
1 69 ESW
1 70 ESW
1 71 SW
1 73 ESN
1 76 SN
1 77 ESN
1 79 ESN
1 80 EW
1 81 ESW
1 82 ESW
1 83 SW
1 85 S
1 86 SN
1 87 EN
1 88 SW
1 89 S
1 90 SN
1 91 E
1 92 ESW
1 93 ENW
1 95 S
1 97 EN
1 98 SW
1 100 EN
1 103 SN
1 104 ES
1 106 S
1 107 S
1 108 EN
1 109 SW
1 110 E
1 111 SW
1 112 S
1 115 ES
1 116 SW
1 117 ES
2 2 S
2 3 SN
2 4 SN
2 5 ES
2 6 EW
2 7 EW
2 8 EW
2 9 EW
2 11 SN
2 13 EN
2 14 SW
2 15 E
2 16 SW
2 17 ES
2 18 EW
2 19 SW
2 20 S
2 21 ES
2 22 ENW
2 23 SNW
2 24 ES
2 25 ESW
2 26 SW
2 27 E
2 28 EW
2 29 SW
2 30 SN
2 31 SN
2 32 ES
2 34 S
2 35 ESN
2 37 EN
2 38 SW
2 39 ESN
2 41 SN
2 42 S
2 43 EN
2 45 SN
2 46 EN
2 47 ENW
2 49 ESN
2 50 EW
2 51 SNW
2 53 EN
2 54 EW
2 55 ESW
2 56 SW
2 58 ESN
2 59 SW
2 61 S
2 62 E
2 63 SNW
2 64 S
2 65 ES
2 66 SNW
2 68 E
2 69 SNW
2 70 SN
2 72 S
2 73 EN
2 74 EW
2 75 SW
2 77 SN
2 78 ES
2 79 SNW
2 80 S
2 81 EN
2 82 ENW
2 83 ENW
2 85 ESN
2 86 SNW
2 87 E
2 89 EN
2 92 ESN
2 93 SW
2 95 EN
2 96 ESW
2 97 SW
2 98 ESN
2 99 ESW
2 100 ESW
2 101 ESW
2 106 SN
2 107 EN
2 109 SN
2 110 ES
2 111 SNW
2 112 SN
2 113 E
2 114 SW
2 116 ESN
2 117 ENW
3 0 EW
3 1 EW
3 3 EN
3 4 SNW
3 6 ES
3 7 EW
3 8 SW
3 9 ES
3 10 SW
3 11 ESN
3 12 EW
3 13 EW
3 14 ENW
3 15 ESW
3 16 ENW
3 17 ENW
3 18 SW
3 19 EN
3 20 SNW
3 22 S
3 25 SN
3 26 EN
3 27 EW
3 28 SW
3 30 EN
3 31 ENW
3 34 EN
3 35 SNW
3 36 E
3 37 SW
3 39 ESN
3 40 EW
3 42 SN
3 43 ES
3 44 SW
3 45 ESN
3 46 SW
3 47 E
3 49 SN
3 50 S
3 51 SN
3 52 ES
3 54 ES
3 55 SNW
3 56 EN
3 58 EN
3 59 SNW
3 60 E
3 61 SNW
3 62 S
3 63 SN
3 64 EN
3 65 ENW
3 67 E
3 68 SW
3 69 ESN
3 70 ENW
3 71 ESW
3 73 ES
3 74 ESW
3 75 ENW
3 76 EW
3 78 ESN
3 79 SNW
3 81 S
3 82 ES
3 83 SW
3 84 E
3 85 SNW
3 86 SN
3 87 S
3 88 E
3 89 SW
3 90 E
3 91 ESW
3 93 ESN
3 94 ESW
3 95 SW
3 96 EN
3 97 ENW
3 99 ESN
3 100 SNW
3 101 SN
3 102 ES
3 103 ESW
3 104 EW
3 105 ESW
3 106 SNW
3 107 ES
3 108 EW
3 109 ENW
3 111 ESN
3 113 E
3 115 ES
3 117 E
4 0 EW
4 1 SW
4 2 E
4 3 ESW
4 4 ENW
4 6 ESN
4 8 ESN
4 9 SNW
4 10 EN
4 11 ENW
4 12 ESW
4 13 SW
4 15 SN
4 16 S
4 17 ES
4 18 SNW
4 19 E
4 20 SNW
4 21 ES
4 22 SNW
4 23 E
4 24 ESW
4 25 ENW
4 27 S
4 28 SN
4 29 ES
4 31 E
4 32 EW
4 33 EW
4 34 ESW
4 35 ENW
4 36 ESW
4 38 S
4 39 SN
4 40 E
4 41 SW
4 42 ESN
4 43 ENW
4 46 SN
4 47 E
4 50 ESN
4 51 SNW
4 52 SN
4 53 ES
4 54 SNW
4 56 S
4 57 ES
4 58 ESW
4 59 ENW
4 60 EW
4 62 SN
4 63 SN
4 64 S
4 65 S
4 66 ES
4 67 ESW
4 69 ESN
4 70 EW
4 71 SNW
4 72 E
4 73 ENW
4 75 S
4 76 S
4 77 E
4 80 S
4 81 ESN
4 83 SN
4 84 S
4 85 ESN
4 86 ENW
4 87 ENW
4 88 EW
4 89 SNW
4 90 S
4 91 ESN
4 92 SW
