m0:w0,w8,w7,w4,w2,w1,w6,w5,w9,w3
m1:w4,w7,w3,w1,w5,w0,w2,w8,w6,w9
m2:w4,w1,w8,w2,w0,w3,w7,w5,w9,w6
m3:w5,w1,w7,w4,w3,w6,w2,w0,w8,w9
m4:w4,w6,w1,w7,w3,w5,w8,w9,w0,w2
m5:w3,w6,w9,w8,w7,w2,w1,w4,w0,w5
m6:w3,w9,w2,w6,w4,w8,w5,w0,w1,w7
m7:w9,w1,w6,w0,w8,w3,w7,w5,w2,w4
m8:w3,w5,w8,w7,w1,w0,w9,w6,w4,w2
m9:w2,w9,w6,w8,w4,w0,w5,w7,w3,w1

w0:m2,m9,m6,m8,m4,m0,m5,m7,m3,m1
w1:m2,m9,m6,m8,m4,m0,m5,m7,m3,m1
w2:m2,m9,m6,m8,m4,m0,m5,m7,m3,m1
w3:m2,m9,m6,m8,m4,m0,m5,m7,m3,m1
w4:m2,m9,m6,m8,m4,m0,m5,m7,m3,m1
w5:m2,m9,m6,m8,m4,m0,m5,m7,m3,m1
w6:m2,m9,m6,m8,m4,m0,m5,m7,m3,m1
w7:m2,m9,m6,m8,m4,m0,m5,m7,m3,m1
w8:m2,m9,m6,m8,m4,m0,m5,m7,m3,m1
w9:m2,m9,m6,m8,m4,m0,m5,m7,m3,m1

